업종명,업소명,주요품목,주요품목2,가격,가격2,전화번호,주소
일식,다미카츠,로스카츠,오리육개장,9500,9000,02-6091-1137,서울특별시 강남구 논현로38길 46 (도곡동) 1층
한식_일반,대치동영지,닭곰탕,삼겹살(200g),9500,17000,02-565-1114,서울특별시 강남구 삼성로 212 (대치2동)
한식_일반,송백식당,김치찌개,김치찌개,9000,6000,02-263-5080,서울특별시 영등포구 당산로38길16 102호
한식_일반,대박물갈비,제육볶음,김치찌개,9000,7000,02-755-6974,서울특별시 중구 퇴계로4길 7 (남창동) 1층
한식_일반,고등어식당,묵은지고등어조림,생삼겹살(180g),9000,13000,02-205-0095,서울특별시 강남구 강남대로84길 33 (역삼1동)
한식_일반,다복콩비지,오리육개장,잔치국수,9000,5000,02-573-2057,서울특별시 강남구 개포로22길 31 (개포4동)
양식,맛있는돈까스,일반돈까스,수제고기떡만두국,9000,8000,02-459-5278,서울특별시 강남구 개포로 638 (일원1동) 지상1층
한식_일반,빨강우산 부대찌개,부대찌개,가정식백반,9000,8000,02-558-1033,서울특별시 강남구 테헤란로 313 성지하이츠 B107호
한식_일반,삼탱이시래기밥,시래기밥정식,고등어구이,9000,9000,02-218-3078,서울특별시 강남구 테헤란로 322 (역삼동) 지하2층
한식_일반,서희네,고등어구이,불고기덮밥,9000,8500,070-8151-7281,서울특별시 강남구 개포로22길 41 (개포4동) 1층 101호
한식_면류,수서골목냉면,냉면,손짜장,9000,7000,02-451-7158,서울특별시 강남구 광평로 232 (수서동) 1층
한식_일반,시골청국장,청국장,점심백반,9000,8000,02-548-0171,서울특별시 강남구 학동로 504 (삼성1동) 서울빌딩 101호
한식_일반,양구식당,닭곰탕국밥,된장찌개,9000,8000,02-548-5848,서울특별시 강남구 논현로151길 26 (신사동)
한식_일반,왕두꺼비 부대찌개,부대찌개,생삼겹살(200g),9000,17000,02-218-1233,서울특별시 강남구 역삼로4길 16 성우스타우스 103호
한식_일반,월드맛집,닭도리뚝배기,차돌된장찌개,9000,8000,02-516-7892,서울특별시 강남구 논현로151길 26 (신사동)
한식_일반,트윈쿡,김치찌개,하하우동,9000,6500,02-600-3225,서울특별시 강남구 영동대로 513 (삼성1동) 지하1층 M112호
한식_일반,학동부대,부대찌개,콩나물국밥,9000,8000,02-540-8040,서울특별시 강남구 학동로 224 (논현동) B101호
한식_일반,향원,반계탕,김치찌개,9000,8000,02-1234-5678,서울특별시 강남구 역삼로4길 16 성우스타우스 104호
한식_면류,공주칼국수,칼국수,토마토스파게티,8500,15000,02-263-1234,서울특별시 영등포구 도림천로11길 1 (대림동) 1층
한식_육류,正닭곰탕,닭곰탕,감자보리밥,8500,8000,02-2187-6358,"서울특별시 강남구 언주로30길 13 (도곡동, 대림아크로빌, 대림아크로텔) B01층 11호"
한식_일반,석화촌,불고기덮밥,차돌된장찌개,8500,8000,02-573-5756,서울특별시 강남구 강남대로240 (도곡1동) 지하1층 B111
한식_일반,여신김밥,김치돌솥밥,바지락칼국수,8500,8000,02-501-0925,서울특별시 강남구 선릉로90길 70 (대치4동) 인텔빌딩 지상1층
한식_일반,낭주골추어탕,김치찌개,칼국수,8000,7000,02-263-7460,서울특별시 영등포구 영등포로190
한식_면류,피치앤명동,칼국수,손수제비,8000,7000,02-263-1234,서울특별시 영등포구 영신로24길 18-1 (영등포동4가) 1층
한식_일반,명희네밥상,김치찌개,점심백반,8000,7000,02-318-0171,서울특별시 중구 퇴계로8길 49 (회현동1가) 1층
한식_일반,감자보리밥,감자보리밥,생삼겹살(200g),8000,15000,02-554-3466,서울특별시 강남구 선릉로 519 (역삼동) 지하1층
한식_일반,김밥여행,김치볶음밥,대구탕.지리,8000,7000,02-571-0747,서울특별시 강남구 논현로4길 47 (개포4동)
한식_일반,대아부대찌개,부대찌개,어묵우동,8000,6000,02-931-9393,서울특별시 강남구 논현로71길 35 (역삼동) 1층
한식_일반,명동만두,수제고기떡만두국,와규꽃등심(150g),8000,25000,02-205-7776,서울특별시 강남구 역삼로 133 (역삼1동) 지상1층 1호
한식_일반,부뚜막,콩나물국밥,김치찌개,8000,8000,02-538-4647,서울특별시 강남구 테헤란로 313 (역삼동) 성지하이트 B01층
한식_일반,북청김치찌개,김치찌개,부대찌개,8000,9000,02-1234-5678,서울특별시 강남구 개포로 668 1층
한식_일반,사천옥,가정식백반,시래기밥정식,8000,9000,02-539-1075,서울특별시 강남구 선릉로86길 16 (대치4동) 지상1층
한식_일반,소담,차돌된장찌개,목살김치찌개,8000,7000,02-341-0010,서울특별시 강남구 개포로 615 (일원2동) 지하115호
한식_일반,신석기부대찌개,점심백반,한우생등심(200g),8000,40000,02-571-3328,서울특별시 강남구 개포로15길 14 (개포동) 1층
한식_일반,엄마밥상,된장찌개,김치볶음밥,8000,6000,02-540-5181,서울특별시 강남구 언주로125길 5 (논현동) B01층
한식_일반,엄지네집,김치찌개,김치돌솥밥,8000,8500,02-543-7208,서울특별시 강남구 학동로20길 24 (논현동) 1층
한식_면류,영심이네집밥,바지락칼국수,고기왕만두,8000,5000,02-529-5317,서울특별시 강남구 개포로17길 3-10 (개포4동) 지상1층
한식_일반,원할매이모네닭한마리,닭곰탕,닭도리뚝배기,8000,9000,02-346-8555,서울특별시 강남구 도곡로4길 9 (도곡1동) 2층
한식_일반,육판장,차돌된장찌개,김밥,8000,3000,02-564-6254,서울특별시 강남구 삼성로 155 (대치1동) 지상1층 122호
한식_일반,이모네분식,쫄면,닭칼국수,8000,7000,02-567-2005,서울특별시 강남구 도곡로21길 15 (역삼1동) 지상1층 5호
한식_일반,정원식당,백반,짜장면,8000,6000,02-539-1235,서울특별시 강남구 논현로 507 지하1층 2호
한식_일반,한벽루전주콩나물국밥,콩나물국밥,한우알아서(200G),8000,43000,02-445-1041,서울특별시 강남구 개포로 648 (일원1동) 1층
한식_일반,해남식당,청국장,김치찌개,8000,7000,02-543-9660,서울특별시 강남구 학동로101길 26 (청담동) 청담삼익상가 지하1층 4호
한식_일반,홍가네김치독,김치찌개,참치김치찌개,8000,9000,02-565-9832,서울특별시 강남구 도곡로7길 7 B01층
한식_면류,강남손제비,손수제비,묵은지고등어조림,7500,9000,02-219-3599,서울특별시 강남구 테헤란로25길 20 2층
중식,금룡,짜장면,갈비탕,7000,13000,02-263-1234,서울특별시 영등포구 국회대로70길 19 (여의도동) 지하1층 B18호
한식_일반,김밥마을,김치찌개,라면,7000,4000,02-263-1234,서울특별시 영등포구 도신로 94 (신길동) 1층
한식_면류,덕천골,칼국수,짜장면,7000,6000,02-263-1234,서울특별시 영등포구 대림로 87 (대림동) 1층
한식_면류,또순이,칼국수,돼지갈비,7000,17000,02-263-1234,서울특별시 영등포구 가마산로 410 (신길동) 1층
한식_면류,명동분식,칼국수,칼국수,7000,7000,02-263-1234,서울특별시 영등포구 영중로10길 33 (영등포동3가) 1층
한식_면류,무의도바다손칼국수,칼국수,삼겹살,7000,15000,02-263-1234,서울특별시 영등포구 디지털로 407 (대림동) 1층
한식_면류,부자칼국수,칼국수,삼계탕,7000,15000,02-263-1234,서울특별시 영등포구 가마산로 449-7 (신길동) 1층
중식,산동성,짜장면,김치찌개,7000,7000,02-263-1234,서울특별시 영등포구 가마산로89길 4-1 (신길동) 1층
한식_일반,삼미식당,김치찌개,초밥,7000,16000,02-206-8428,서울특별시 영등포구 영등포로5길 14-2 1층
중식,유림각,짜장면,김치찌개,7000,7000,02-263-1234,서울특별시 영등포구 영중로3길 12-1 (영등포동4가) 1층
한식_일반,유미식당,김치찌개,짬뽕,7000,6000,02-844-7953,서울특별시 영등포구 시흥대로 611 
한식_일반,정원한방오리,김치찌개,돼지갈비,7000,14000,02-836-8878,서울특별시 영등포구 가마산로455 (2층)
한식_면류,345국수,손수제비,청국장,7000,7000,02-223-5257,서울특별시 중구 청구로 83-9 1층
한식_일반,거목식당,청국장,짜장면 ,7000,6000,02-226-0010,서울특별시 중구 을지로36길 18 (을지로5가)
한식_일반,광희식당,된장찌개,불고기백반,7000,10000,02-226-1555,서울특별시 중구 장충단로 212-2 (광희동2가)
한식_일반,돈우가식당,김치찌개,김치찌개,7000,7000,02-378-1313,서울특별시 중구 남대문로 25-17 1층(북창동)
한식_일반,명동얼큰수제비,김치찌개,한우 등심구이(140g),7000,45000,02-752-7649,서울특별시 중구 남대문로 64 
한식_일반,민정이네,점심백반,모듬돌솥비빔밥,7000,10000,02-312-1420,서울특별시 중구 만리재로 37길 21 (만리동1가)
한식_일반,우리집 맛자랑,된장찌개,자장면,7000,7000,02-319-8939,서울특별시 중구 퇴계로20길 26 (남산동2가)
중식,유가,자장면,김밥,7000,3500,02-378-9688,서울특별시 중구 퇴계로12길 68 1층 (회현동1가)
한식_면류,이원 손칼국수,칼국수,콩나물비빔밥,7000,6000,02-2273-5568,서울특별시 중구 동호로37길 33-16 (주교동) 1층
한식_일반,장수보리밥,보리밥,떡국,7000,4000,02-225-2808,서울특별시 중구 퇴계로85길 12-4 (황학동)
한식_일반,코너집,된장찌개,야채김밥,7000,2500,02-227-6266,"서울특별시 중구 퇴계로 336 1층101호(광희동2가,성진오피스텔)"
한식_일반,풍년식당,가정식백반,된장찌개,7000,6000,02-227-0870,서울특별시 중구 퇴계로36가길 47 (필동2가)
한식_일반,노숙자아구샤브샤브,대구탕.지리,진국수(사골육수),7000,7000,02-577-5017,서울특별시 강남구 개포로22길 13 (개포4동)
한식_면류,누렁국수,진국수(사골육수),로스카츠,7000,9500,02-431-0045,서울특별시 강남구 개포로 652 (일원1동)빌딩스타3 지상1층 101호
양식,돈까스리,돈까스,키즈네 우동,7000,6500,02-218-0714,서울특별시 강남구 테헤란로 322 (역삼2동) 지하층 124호
한식_일반,소울담은 퓨전요리,목살김치찌개,카레,7000,7000,02-508-8708,서울특별시 강남구 영동대로96길 37 2층
일식,송송카레,카레,보쌈,7000,10000,02-553-0527,서울특별시 강남구 역삼로 207 1층
중식,수타손짜장,손짜장,콩나물국밥,7000,6000,02-451-9763,서울특별시 강남구 개포로 615 (일원2동) 지하1층 110호
한식_면류,이모네손칼국수,닭칼국수,손칼국수,7000,7000,02-555-0767,서울특별시 강남구 언주로69길 9 (역삼2동) 1층
한식_면류,임가네민속집,손칼국수,묵은지삼겹살(200g),7000,16000,02-556-1015,서울특별시 강남구 논현로79길 7 (역삼1동) 지상1층 1-1호
한식_일반,장원식당,김치찌개,김치찌개,7000,7000,02-548-7577,서울특별시 강남구 강남대로152길 67 
한식_일반,전주식당,김치찌개,비빔밥,7000,6500,02-555-1853,서울특별시 강남구 강남대로94길 23 (역삼동) B01층
한식_일반,해피타임,김치찌개,잔치국수,7000,6000,02-567-5714,서울특별시 강남구 삼성로71길 34 (대치4동)
중식,남경,짜장면,김치찌개,6500,8000,02-263-1234,서울특별시 영등포구 영중로29길 2 (영등포동7가) 1층
중식,신흥원,짜장면,자장면,6500,6000,02-263-1234,서울특별시 영등포구 시흥대로 667 (대림동) 1층
중식,열빈중화요리,짜장면,짜장면,6500,7000,02-263-1234,서울특별시 영등포구 양평로 126 (양평동5가) 1층
한식_일반,영자씨우동김밥,김치찌개,손수제비,6500,5000,02-227-9791,서울특별시 중구 마른내로 15-1 (저동2가)
일식,돈바치,키즈네 우동,칼국수,6500,5000,070-7778-8300,서울특별시 강남구 개포로 250 (개포동) 103호
한식_일반,정든김밥,비빔밥,백반,6500,8000,02-564-6926,서울특별시 강남구 테헤란로25길 17 (역삼동) 1층
일식,하하,하하우동,부대찌개,6500,9000,02-546-2697,서울특별시 강남구 논현로151길 24 (신사동)
한식_분식,할머니분식,제육덮밥,청국장,6500,8000,02-552-1407,서울특별시 강남구 도곡로 516 (대치동) 지하1층
중식,동네짜장,짜장면,칼국수,6000,7000,02-263-1234,서울특별시 영등포구 도림로 188 (대림동) 1층
한식_일반,순미식당,김치찌개,갈비탕,6000,11000,02-832-7436,서울특별시 영등포구 대방천로188 1층
중식,연경궁,자장면,짜장면,6000,6500,02-267-3569,서울특별시 영등포구 국회대로30길 14 1층
중식,일선화,짬뽕,돼지갈비,6000,16000,02-263-1234,서울특별시 영등포구 여의대방로59길 2 (신길동) 1층
중식,짜우리아,짜장면,짜장면,6000,6000,02-833-8802,서울특별시 영등포구 영신로 34 
중식,짬뽕나라,짜장면,녹차,6000,2000,02-263-1234,서울특별시 영등포구 가마산로65길 9 (신길동) 1층
중식,공화춘,짜장면 ,된장찌개,6000,7000,02-723-4038,서울특별시 중구 청파로 457-1 (중림동) 2층
한식_일반,이조식당,콩나물비빔밥,보리밥,6000,7000,02-365-5993,서울특별시 중구 청파로103길 33 1층(중림동)
한식_일반,형제정육식당,된장찌개,점심백반,6000,6000,02-223-9902,서울특별시 중구 다산로40길 56 1층(신당5동)
한식_일반,흑돈연가,점심백반,닭곰탕,6000,8500,02-223-7854,서울특별시 중구 퇴계로88길 20 1층 (신당5동)
한식_일반,대청분식,어묵우동,닭곰탕,6000,9500,02-222-2928,서울특별시 강남구 개포로 621 (개포동) B102호
한식_일반,숙아채 콩나물국밥,콩나물국밥,멸치국수,6000,5000,02-571-4441,서울특별시 강남구 개포로20길 17 (개포4동)
한식_일반,엄마손김밥,김치볶음밥,김치찌개,6000,8000,02-554-5733,서울특별시 강남구 언주로 314 (역삼2동)
중식,중화요리일품,짜장면,닭곰탕,6000,10000,02-1234-5678,서울특별시 강남구 테헤란로 322 (역삼2동)
한식_면류,행복한잔치국수,잔치국수,반계탕,6000,9000,02-459-2918,서울특별시 강남구 광평로 196 (수서동) 2층 201호
한식_일반,126밥상,된장찌개,칼국수,5900,8500,0507-1335-1340,서울특별시 영등포구 당산로36길 1 (당산동4가) 1층
중식,만강홍,짜장면,칼국수,5000,7000,02-263-1234,서울특별시 영등포구 영중로10길 20 (영등포동3가) 2층
중식,신흥각,짜장면,짜장면,5000,6500,02-263-1234,서울특별시 영등포구 도림로147길 1-6 (문래동4가) 1층
한식_면류,옛날홍두깨손칼국수,손수제비,한우 등심구이(140g),5000,45000,02-223-1458,서울특별시 중구 동호로7길 32 
한식_면류,국수마을,마을국수,김치볶음밥,5000,8000,02-3288-3005,서울특별시 강남구 봉은사로114길 42 (삼성동) 1층
한식_면류,다시사랑한다면,잔치국수,부대찌개,5000,8000,02-555-0451,서울특별시 강남구 언주로 407 (역삼동)
한식_일반,만나식당,칼국수,삼겹살(180g),5000,13000,02-451-8886,서울특별시 강남구 개포로 109길 5 (개포동) 106호
한식_면류,시골밥상,멸치국수,청국장,5000,9000,02-561-4667,"서울특별시 강남구 테헤란로 313 (역삼동) B01, 3호"
한식_일반,왕가네왕만두,고기왕만두,부대찌개,5000,9000,02-555-0208,서울특별시 강남구 역삼로 420 (대치4동) 지상1층 102호
한식_일반,김밥하우스,라면,짜장면,4000,6500,02-263-1234,서울특별시 영등포구 신길로 38 (신길동) 1층
한식_일반,장안김밥,떡국,충정로김밥,4000,2500,02-223-8135,서울특별시 중구 다산로36길 25 
한식_분식,뉴욕스넥,야채김밥,제육볶음,3500,9000,02-2274-1110,서울특별시 중구 을지로 지하131 (을지로3가) 56호
한식_일반,이모분식,김밥,칼국수,3500,7000,02-2279-3897,서울특별시 중구 충무로 43-2 (초동) 1층
한식_분식,이가네김밥마을,김밥,쫄면,3000,8000,02-3412-2692,서울특별시 강남구 양재대로33길 21 (일원동) 1층
한식_일반,충정로김밥,충정로김밥,된장찌개,2500,7000,02-313-1006,"서울특별시 중구 서소문로6길 34 1층108호(중림동,성요셉아파트상가)"
한식_일반,푸드카페,야채김밥,가정식백반,2500,7000,02-223-5666,서울특별시 중구 충무로2길 23 (충무로4가)
한식_기타,카페달싸,녹차,삼겹살,2000,15000,02-267-8522,"서울특별시 영등포구 당산로33길 9 1층(당산동3가, 레드빌딩)"
